1;Cornstarch;100;381;0;0;9,00;0,26;91,27;0,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2;Nuts;100;691;72;0;0,00;9,17;13,86;9,60;3,97;56,00;0,00;0,21;1,10;0,00;1,40;3,50
3;Eggplant;100;25;0;0;2,00;0,98;5,88;3,00;3,53;23,00;0,00;0,08;2,20;0,00;0,30;3,50
4;Teff;100;367;2;0;12,00;13,30;73,13;8,00;1,84;9,00;0,00;0,48;0,00;0,00;0,08;1,90
5;Sherbet;100;144;2;1;46,00;1,10;30,40;1,30;24,32;46,00;0,13;0,02;2,30;0,00;0,01;0,00
6;Cauliflower;100;25;0;0;30,00;1,92;4,97;2,00;1,91;0,00;0,00;0,18;48,20;0,00;0,08;15,50
7;Taro leaves;100;42;1;0;3,00;4,98;6,70;3,70;3,01;4825,00;0,00;0,15;52,00;0,00;2,02;108,60
8;Lamb;100;282;23;73;59,00;16,56;0,00;0,00;0,00;0,00;2,31;0,13;0,00;2,00;0,20;3,60
9;Cheese;100;300;24;72;842,00;19,80;0,46;0,00;0,46;820,00;1,30;0,23;0,00;18,00;0,21;2,00
10;Vegetarian fillets;100;290;18;0;490,00;23,00;9,00;6,10;0,80;0,00;4,20;1500,00;0,00;0,00;3,45;0,00
11;PACE;100;25;0;0;781,00;0,00;6,25;3,10;6,25;313,00;0,00;0,00;0,00;0,00;0,00;0,00
12;Goji berries;100;349;0;0;298,00;14,26;77,06;13,00;45,61;26822,00;0,00;0,00;48,40;0,00;0,00;0,00
13;Mango nectar;100;51;0;0;5,00;0,11;13,12;0,30;12,45;692,00;0,00;0,02;15,20;0,00;0,21;0,80
14;Crackers;100;407;7;78;253,00;13,50;72,30;0,00;0,00;41,00;0,18;0,05;0,00;0,00;0,00;0,00
15;Chicken;100;215;15;84;67,00;19,40;0,20;0,00;0,00;100,00;0,47;0,01;0,00;8,00;0,27;0,20
16;Quail;100;134;5;70;51,00;21,76;0,00;0,00;0,00;57,00;0,47;0,53;7,20;0,00;0,00;0,00
17;Pie;100;316;16;0;374,00;3,00;42,60;2,60;0,00;32,00;0,08;0,03;0,00;0,00;0,00;0,00
18;Peppers;100;29;0;0;3,00;0,91;6,50;2,80;4,12;1078,00;0,00;0,42;118,60;0,00;3,58;18,50
